Country,Average User,Luddite,Tech Savvy,Ultra Nerd,,
Afghanistan,1,1,5,,,
Albania,19,1,32,8,,
Algeria,304,88,240,94,,
American Samoa,,,1,,,
Andorra,4,1,3,1,,
Angola,10,1,8,2,,
Anguilla,,,1,,,
Anonymous Proxy,3,2,21,11,,
Antigua and Barbuda,,,1,,,
Argentina,1478,129,1239,288,,
Armenia,2,,4,3,,
Aruba,2,1,,,,
Asia/Pacific Region,2,1,7,1,,
Australia,1193,77,889,270,,
Austria,820,47,960,257,,
Azerbaijan,,,2,1,,
Bahamas,2,,5,,,
Bahrain,4,,11,2,,
Bangladesh,130,26,161,78,,
Barbados,5,1,6,,,
Belarus,3,1,17,5,,
Belgium,1102,107,988,271,,
Belize,2,1,3,3,,
Benin,41,3,27,7,,
Bhutan,,1,2,,,
Bolivia,197,28,144,23,,
Bosnia and Herzegovina,14,,28,10,,
Botswana,5,2,6,,,
Brazil,5780,442,5444,1080,,
Brunei Darussalam,7,,5,,,
Bulgaria,35,3,73,35,,
Burkina Faso,30,10,8,6,,
Burundi,6,2,5,1,,
Cambodia,19,1,15,7,,
Cameroon,120,15,77,15,,
Canada,2066,131,1628,505,,
Cape Verde,5,,1,,,
Cayman Islands,,,1,1,,
Central African Republic,1,,,,,
Chad,6,1,1,,,
Chile,612,42,601,120,,
China,34,1,44,16,,
Christmas Island,1,,,,,
Colombia,1004,94,906,199,,
Comoros,1,,,1,,
Congo,5,1,5,1,,
"Congo, The Democratic Republic of the",22,1,15,6,,
Costa Rica,188,16,173,48,,
Cote D'Ivoire,112,15,90,35,,
Croatia,53,1,85,32,,
Cuba,39,7,42,11,,
Curacao,4,,4,,,
Cyprus,16,,12,7,,
Czech Republic,33,2,77,33,,
Denmark,59,3,108,50,,
Djibouti,7,1,,,,
Dominica,1,,,,,
Dominican Republic,91,2,117,17,,
Ecuador,691,76,373,83,,
Egypt,36,9,61,34,,
El Salvador,161,22,146,27,,
Equatorial Guinea,3,,1,,,
Estonia,10,,32,9,,
Ethiopia,11,5,7,6,,
Europe,52,3,81,21,,
Fiji,7,1,6,3,,
Finland,56,4,106,49,,
France,13644,1546,12537,3324,,
French Guiana,25,1,20,2,,
French Polynesia,43,5,33,6,,
Gabon,19,5,19,3,,
Gambia,,,3,,,
Georgia,4,,6,1,,
Germany,10799,742,9804,2687,,
Ghana,30,,43,8,,
Gibraltar,1,,1,,,
Greece,111,6,196,71,,
Grenada,,1,1,,,
